Timestamp;StimuliName;FixationDuration;MappedFixationPointX;MappedFixationPointY;user;description;aois
401177;03_Bordeaux_S1.jpg;216;1117;775;p21;color;Hotel_de_Ville-Place_du_Palais
401393;03_Bordeaux_S1.jpg;233;1079;793;p21;color;Hotel_de_Ville-Place_du_Palais
6878;03_Bordeaux_S1.jpg;167;1211;792;p24;color;Hotel_de_Ville-Place_du_Palais
7044;03_Bordeaux_S1.jpg;150;1194;731;p24;color;Origin
7194;03_Bordeaux_S1.jpg;183;1143;701;p24;color;Origin
7377;03_Bordeaux_S1.jpg;300;1125;768;p24;color;Hotel_de_Ville-Place_du_Palais
7677;03_Bordeaux_S1.jpg;533;1139;699;p24;color;Origin
8210;03_Bordeaux_S1.jpg;683;1128;766;p24;color;Hotel_de_Ville-Place_du_Palais
8893;03_Bordeaux_S1.jpg;316;1158;701;p24;color;Origin
9209;03_Bordeaux_S1.jpg;366;1240;462;p24;color;Enghein-Quinconces
9576;03_Bordeaux_S1.jpg;200;1279;458;p24;color;Enghein-Quinconces
9776;03_Bordeaux_S1.jpg;200;1138;745;p24;color;Origin
9976;03_Bordeaux_S1.jpg;200;1157;706;p24;color;Origin
10175;03_Bordeaux_S1.jpg;366;1540;1068;p24;color;Destination
10542;03_Bordeaux_S1.jpg;167;1472;977;p24;color
10708;03_Bordeaux_S1.jpg;166;1428;823;p24;color;Porte_de_Bourgogne-Stalingrad
10875;03_Bordeaux_S1.jpg;200;1379;627;p24;color
11075;03_Bordeaux_S1.jpg;150;1400;791;p24;color;Porte_de_Bourgogne-Stalingrad
11225;03_Bordeaux_S1.jpg;200;1285;518;p24;color;Enghein-Quinconces
11425;03_Bordeaux_S1.jpg;733;1288;451;p24;color;Enghein-Quinconces
12274;03_Bordeaux_S1.jpg;366;1307;442;p24;color;Enghein-Quinconces
12640;03_Bordeaux_S1.jpg;216;1392;554;p24;color;Enghein-Quinconces
12857;03_Bordeaux_S1.jpg;483;1417;846;p24;color;Porte_de_Bourgogne-Stalingrad
13340;03_Bordeaux_S1.jpg;250;1508;1027;p24;color;Destination
13590;03_Bordeaux_S1.jpg;217;1206;799;p24;color;Hotel_de_Ville-Place_du_Palais
13806;03_Bordeaux_S1.jpg;200;1372;1152;p24;color
14006;03_Bordeaux_S1.jpg;217;1326;1166;p24;color
14223;03_Bordeaux_S1.jpg;683;1531;1080;p24;color;Destination
14906;03_Bordeaux_S1.jpg;167;1216;825;p24;color;Hotel_de_Ville-Place_du_Palais
15072;03_Bordeaux_S1.jpg;416;1142;770;p24;color;Hotel_de_Ville-Place_du_Palais
15489;03_Bordeaux_S1.jpg;200;1394;814;p24;color;Porte_de_Bourgogne-Stalingrad
15688;03_Bordeaux_S1.jpg;283;1417;841;p24;color;Porte_de_Bourgogne-Stalingrad
15972;03_Bordeaux_S1.jpg;233;1118;791;p24;color;Hotel_de_Ville-Place_du_Palais
16205;03_Bordeaux_S1.jpg;416;1413;844;p24;color;Porte_de_Bourgogne-Stalingrad
16621;03_Bordeaux_S1.jpg;166;1236;1111;p24;color
16788;03_Bordeaux_S1.jpg;217;1121;1164;p24;color
17004;03_Bordeaux_S1.jpg;350;216;1092;p24;color
17354;03_Bordeaux_S1.jpg;166;603;879;p24;color
